id_user,training_type,sum_payment,date
1000,indiv,1800.0,2023-03-04
1000,indiv,1800.0,2023-03-21
1000,indiv,1800.0,2023-04-03
1000,indiv,1800.0,2023-04-12
1000,indiv,1800.0,2023-04-20
1000,indiv,1800.0,2023-04-28
1000,indiv,1600.0,2023-05-06
1000,indiv,1600.0,2023-05-10
1000,indiv,1600.0,2023-05-20
1000,indiv,1600.0,2023-05-24
1000,indiv,1800.0,2023-06-26
1000,indiv,1800.0,2023-06-28
1000,indiv,1800.0,2023-07-06
1000,indiv,3600.0,2023-07-12
1000,indiv,1800.0,2023-07-22
1000,indiv,1800.0,2023-07-23
1000,indiv,1800.0,2023-07-26
1000,indiv,1800.0,2023-08-03
1000,indiv,,2023-08-09
1000,indiv,1800.0,2023-08-10
1000,indiv,1800.0,2023-09-21
1000,indiv,1800.0,2023-09-24
1000,indiv,1800.0,2023-09-28
1000,indiv,1800.0,2023-09-30
1000,indiv,1800.0,2023-11-06
1000,indiv,1800.0,2023-11-07
1000,indiv,1800.0,2023-11-13
1000,indiv,1800.0,2023-11-24
1000,indiv,1800.0,2023-11-30
1000,indiv,1800.0,2023-12-03
1000,indiv,1800.0,2023-12-10
1000,indiv,1800.0,2023-12-12
1000,indiv,,2023-12-21
1000,indiv,1800.0,2023-12-24
1001,indiv,1800.0,2023-01-02
1001,group,800.0,2023-01-06
1001,group,800.0,2023-01-07
1001,group,800.0,2023-01-11
1001,group,800.0,2023-01-12
1001,indiv,1800.0,2023-01-12
1001,group,800.0,2023-01-13
1001,group,800.0,2023-01-14
1001,group,800.0,2023-01-14
1001,group,800.0,2023-01-19
1001,group,800.0,2023-01-23
1001,group,800.0,2023-01-27
1001,group,800.0,2023-01-27
1001,group,800.0,2023-01-29
1001,group,800.0,2023-02-01
1001,group,800.0,2023-02-01
1001,group,800.0,2023-02-02
1001,indiv,1800.0,2023-02-03
1001,indiv,1800.0,2023-02-03
1001,group,800.0,2023-02-05
1001,group,,2023-02-07
1001,group,800.0,2023-02-07
1001,group,800.0,2023-02-09
1001,group,800.0,2023-02-11
1001,group,800.0,2023-02-15
1001,group,800.0,2023-02-16
1001,indiv,1800.0,2023-02-17
1001,group,800.0,2023-02-23
1001,group,800.0,2023-03-04
1001,group,800.0,2023-03-05
1001,indiv,1800.0,2023-03-07
1001,group,800.0,2023-03-09
1001,indiv,1800.0,2023-03-13
1001,group,800.0,2023-03-15
1001,group,800.0,2023-03-17
1001,group,800.0,2023-03-19
1001,indiv,1800.0,2023-03-25
1001,group,800.0,2023-03-26
1001,indiv,1800.0,2023-03-26
1001,indiv,1800.0,2023-03-29
1001,group,800.0,2023-03-30
1001,indiv,1800.0,2023-03-30
1001,group,800.0,2023-04-01
1001,group,800.0,2023-04-09
1001,group,800.0,2023-04-12
1001,group,800.0,2023-04-13
