id_user,mon,cnt_group,cnt_indiv,sum_group,sum_indiv,cnt_total,sum_total,min_mon,max_mon,city,age,gender
1000,2023-03,0,2,0,3600,2,3600,2023-03,2023-12,СПб,44.0,female
1000,2023-04,0,4,0,7200,4,7200,2023-03,2023-12,СПб,44.0,female
1000,2023-05,0,4,0,6400,4,6400,2023-03,2023-12,СПб,44.0,female
1000,2023-06,0,2,0,3600,2,3600,2023-03,2023-12,СПб,44.0,female
1000,2023-07,0,4,0,7200,4,7200,2023-03,2023-12,СПб,44.0,female
1000,2023-08,0,3,0,5400,3,5400,2023-03,2023-12,СПб,44.0,female
1000,2023-09,0,4,0,7200,4,7200,2023-03,2023-12,СПб,44.0,female
1000,2023-11,0,5,0,9000,5,9000,2023-03,2023-12,СПб,44.0,female
1000,2023-12,0,5,0,9000,5,9000,2023-03,2023-12,СПб,44.0,female
1001,2023-01,12,2,9600,3600,14,13200,2023-01,2023-12,Москва,35.0,female
1001,2023-02,11,3,8800,5400,14,14200,2023-01,2023-12,Москва,35.0,female
1001,2023-03,8,6,6400,10800,14,17200,2023-01,2023-12,Москва,35.0,female
1001,2023-04,9,5,7200,9000,14,16200,2023-01,2023-12,Москва,35.0,female
1001,2023-05,3,7,2400,11200,10,13600,2023-01,2023-12,Москва,35.0,female
1001,2023-06,12,0,9600,0,12,9600,2023-01,2023-12,Москва,35.0,female
1001,2023-07,9,0,7200,0,9,7200,2023-01,2023-12,Москва,35.0,female
1001,2023-08,12,0,9600,0,12,9600,2023-01,2023-12,Москва,35.0,female
1001,2023-09,7,0,5600,0,7,5600,2023-01,2023-12,Москва,35.0,female
1001,2023-10,11,0,8800,0,11,8800,2023-01,2023-12,Москва,35.0,female
1001,2023-12,12,0,9600,0,12,9600,2023-01,2023-12,Москва,35.0,female
1002,2023-02,4,8,3200,14400,12,17600,2023-02,2023-12,Москва,34.0,male
1002,2023-03,4,8,3200,14400,12,17600,2023-02,2023-12,Москва,34.0,male
1002,2023-04,7,4,5600,7200,11,12800,2023-02,2023-12,Москва,34.0,male
1002,2023-05,2,10,1600,16000,12,17600,2023-02,2023-12,Москва,34.0,male
1002,2023-06,7,4,5600,7200,11,12800,2023-02,2023-12,Москва,34.0,male
1002,2023-07,8,4,6400,7200,12,13600,2023-02,2023-12,Москва,34.0,male
1002,2023-08,5,7,4000,12600,12,16600,2023-02,2023-12,Москва,34.0,male
1002,2023-09,8,3,6400,5400,11,11800,2023-02,2023-12,Москва,34.0,male
1002,2023-10,7,4,5600,7200,11,12800,2023-02,2023-12,Москва,34.0,male
1002,2023-11,8,4,8000,7200,12,15200,2023-02,2023-12,Москва,34.0,male
1002,2023-12,4,8,3200,14400,12,17600,2023-02,2023-12,Москва,34.0,male
1004,2023-02,0,3,0,5400,3,5400,2023-02,2023-10,Екатеринбург,60.0,male
1004,2023-03,0,1,0,1800,1,1800,2023-02,2023-10,Екатеринбург,60.0,male
1004,2023-04,0,3,0,5400,3,5400,2023-02,2023-10,Екатеринбург,60.0,male
1004,2023-05,0,2,0,3200,2,3200,2023-02,2023-10,Екатеринбург,60.0,male
1004,2023-06,0,1,0,1800,1,1800,2023-02,2023-10,Екатеринбург,60.0,male
1004,2023-07,0,3,0,5400,3,5400,2023-02,2023-10,Екатеринбург,60.0,male
1004,2023-08,0,3,0,5400,3,5400,2023-02,2023-10,Екатеринбург,60.0,male
1004,2023-09,0,1,0,1800,1,1800,2023-02,2023-10,Екатеринбург,60.0,male
1004,2023-10,0,1,0,1800,1,1800,2023-02,2023-10,Екатеринбург,60.0,male
1005,2023-07,0,3,0,5400,3,5400,2023-07,2023-10,СПб,35.0,female
1005,2023-10,0,4,0,7200,4,7200,2023-07,2023-10,СПб,35.0,female
1006,2023-01,9,0,7200,0,9,7200,2023-01,2023-11,Казань,46.0,female
1006,2023-02,12,0,9600,0,12,9600,2023-01,2023-11,Казань,46.0,female
1006,2023-03,8,0,6400,0,8,6400,2023-01,2023-11,Казань,46.0,female
1006,2023-04,9,0,7200,0,9,7200,2023-01,2023-11,Казань,46.0,female
1006,2023-08,9,0,7200,0,9,7200,2023-01,2023-11,Казань,46.0,female
1006,2023-09,12,0,9600,0,12,9600,2023-01,2023-11,Казань,46.0,female
1006,2023-10,9,0,8000,0,9,8000,2023-01,2023-11,Казань,46.0,female
1006,2023-11,10,0,8000,0,10,8000,2023-01,2023-11,Казань,46.0,female
1007,2023-01,0,1,0,1800,1,1800,2023-01,2023-04,Москва,58.0,female
1007,2023-02,0,2,0,3600,2,3600,2023-01,2023-04,Москва,58.0,female
1007,2023-03,0,1,0,1800,1,1800,2023-01,2023-04,Москва,58.0,female
1007,2023-04,0,1,0,1800,1,1800,2023-01,2023-04,Москва,58.0,female
1008,2023-08,2,4,1600,7200,6,8800,2023-08,2023-11,СПб,53.0,female
1008,2023-09,4,2,3200,3600,6,6800,2023-08,2023-11,СПб,53.0,female
1008,2023-10,4,3,3200,5400,7,8600,2023-08,2023-11,СПб,53.0,female
1008,2023-11,3,0,2400,0,3,2400,2023-08,2023-11,СПб,53.0,female
1009,2023-06,0,2,0,3600,2,3600,2023-06,2023-09,Москва,22.0,female
1009,2023-07,0,2,0,3600,2,3600,2023-06,2023-09,Москва,22.0,female
1009,2023-08,0,3,0,5400,3,5400,2023-06,2023-09,Москва,22.0,female
1009,2023-09,0,2,0,3600,2,3600,2023-06,2023-09,Москва,22.0,female
1010,2023-01,5,3,4000,5400,8,9400,2023-01,2023-11,Москва,47.0,female
1010,2023-02,5,3,4000,5400,8,9400,2023-01,2023-11,Москва,47.0,female
1010,2023-03,5,3,4000,5400,8,9400,2023-01,2023-11,Москва,47.0,female
1010,2023-04,6,2,4800,3600,8,8400,2023-01,2023-11,Москва,47.0,female
1010,2023-05,3,5,2400,8000,8,10400,2023-01,2023-11,Москва,47.0,female
